"","site","date","temperature (degrees C)","Spec_Cond (mS)","DO_sat (% sat)","DO (mg/L)","pH (pH)","ORP (mV)","Turbidity (NTU)","Chlor (ug/L)","SSC (mg/L)","Alkalinity (mg CaCO3/L)","DOC_R5 (mg/L)","DOC_Awberc (mg/L)","TOC_R5 (mg/L)","TOC_Awberc (mg/L)","Fluoride (mg/L)","Chloride (mg/L)","Bromide (mg/L)","Nitrate (mg/L)","Orthophosphate (mg/L)","Sulfate (mg/L)","Ammoniacal_nitrogen (mg/L)","DIN (mg/L)","TKN (mg/L)","TDP (mg/L)","TP (mg/L)","Aluminum_dissolved","Calcium (mg/L)","Copper_dissolved (ug/L)","Iron_dissolved (mg/L)","Magnesium (mg/L)","Manganese_dissolved (mg/L)","Potassium (mg/L)","Sodium (mg/L)","Zinc_dissolved (ug/L)","Aluminum_total (mg/L)","Copper_total (mg/L)","Iron_total (mg/L)","Manganese_total (mg/L)","Zinc_total (ug/L)","Flow_condition"
"1","CON",2005-04-19 08:40:00,"14.2","1.107",85.5,8.74,8.04,356,13.9,NA,"31","260",2.61,NA,"4.2",NA,NA,144,"0.1","0.95","0.38",112,"nd","0.21","0.34","0.12","0.16","nd","129","nd","0.0541",22.6,"0.00615","4.13",73.2,"nd","0.887","nd","0.847","0.039","nd","Base"
"2","CON",2005-05-26 09:24:00,"13.3","1.074",79.5,8.3,7.99,306,19.6,NA,"29.3","270",17,NA,"20",NA,NA,124,"0.1","2.24","0.56",100,"nd","0.54","0.55","0.17","0.22","nd","127","nd","nd",22.2,"0.00252","3.9",66.6,"nd","1.33","nd","1.21","0.0582","nd","Base"
"3","CON",2005-06-21 07:57:00,"16.99","0.956",76.2,7.35,7.05,342,13.5,NA,"39.8","240",3.5,NA,"3.7",NA,NA,120,"0.11","1.42","0.69",80.4,"nd","0.19","0.37","0.2","0.27","nd","111","nd","nd",18.4,"0.00447","4.25",61.4,"nd","1.04","nd","0.914","0.0422","nd","Base"
"4","CON",2005-07-26 08:14:00,"24.6","0.869",56.3,4.68,7.05,221,8,NA,"14.1","220",10,NA,"15",NA,NA,105,"0.12","0.9","0.7",58,"nd","0.17","0.57","0.19","0.2","nd","90","nd","nd",15.4,"0.0339","4.81",59.3,"nd","0.414","nd","0.473","0.0418","nd","Base"
"5","CON",2005-08-16 08:02:00,"21.92","0.974",59.8,5.22,7.42,212,19.4,NA,"6.4","230",18,NA,"18",NA,NA,118,"0.12","0.45","0.62",62.4,"nd","0.12","0.4","0.17","0.19","nd","94.6","nd","nd",16.5,"0.19","4.67",67.8,"nd","0.226","nd","0.236","0.0923","nd","Base"
"6","CON",2005-09-22 09:32:00,"18.93","0.887",78.8,7.31,7.71,245,13.3,NA,"14.8","200",10,NA,"14",NA,NA,120,"0.07","0.46","0.74",56.3,"nd","0.15","0.34","0.23","0.24","nd","80.4","2.78","nd",13.4,"0.0189","4.45",68.1,"12.6","0.697","3.88","0.625","0.0387","15.7","Base"
"7","CON",2005-10-31 08:29:00,"7.72","0.941",79.9,9.5,7.39,256,5.5,NA,"1.67","220",12,NA,"23",NA,NA,112,"0.07","0.91","0.73",65.5,"nd","0.2","0.14","0.17","0.29","0.0159","95.4","nd","nd",16.1,"0.0128","4.57",74.7,"9.33","0.208","nd","0.133","0.0153","13.9","Base"
"8","CON",2006-02-09 11:37:00,"0.78","1.07",111.3,15.87,8.08,267,3.3,NA,"1.67","250",4.5,NA,"12",NA,NA,120,"0.06","3.09","0.32",86.4,"nd","0.7","0.19","0.09","0.13","nd","123","1.55","nd",20.5,"0.00262","2.45",70.4,"8.41","0.073","2.02","0.0859","0.00575","8.27","Base"
"9","CON",2006-03-20 10:54:00,"4.57","0.918",101.3,13.3,8.05,259,7.2,NA,"7.9","250",3.7,NA,"4.5",NA,NA,87.8,"0.06","2.45","0.42",89,"0.44","0.58","0.32","0.08","0.1","nd","112","2.56","nd",18.6,"0.00314","2.66",49.1,"14.6","0.19","3.12","0.294","0.0165","22.2","Base"
"10","CON",2006-05-09 10:15:00,"14.04","0.972",72,7.4,7.87,278,18.7,NA,"22.1","250",10,NA,"17.2",NA,NA,111,"0.1","1.75","0.48",97.7,"nd","0.41","0.38","0.18","0.25","nd","112","2.86","nd",21.5,"0.00909","3.08",57,"14","0.549","3.34","0.628","0.0422","19.4","Base"
"11","CON",2006-06-06 08:53:00,"15.88","0.904",72,7.11,7.54,120,14,NA,"16.2","240",4.1,NA,"6.9",NA,NA,98.4,"0.08","1.77","0.68",69,"nd","0.44","0.29","0.2","0.27","nd","96.3","1.93","nd",16.6,"0.0107","3.36",51.2,"15.4","0.824","2.46","0.633","0.0698","15.5","Base"
"12","CON",2006-07-10 09:17:00,"19.1","0.914",61,5.63,7.36,196,11.5,NA,"6.6","250",9.9,NA,"13.8",NA,NA,93.6,"0.19","1.34","0.67",48.6,"nd","0.22","0.32","0.18","0.19","nd","100","2.2","nd",17.5,"0.0442","3.9",64.9,"14.5","0.755","2.85","0.623","0.0971","43.6","Base"
"13","CON",2006-08-08 08:41:00,"22.67","0.431",46.6,4.02,7.69,190,2.4,NA,"8.4","220",3.2,NA,"4.4",NA,NA,86.1,"0.1","0.34","0.68",40.6,"nd","0.65","0.41","0.25","0.31","nd","83.6","1.7","0.0268",14.6,"0.0583","4.42",54.3,"14.2","0.403","nd","0.36","0.0669","14.3","Base"
"14","CON",2006-09-05 09:40:00,"17.46","0.76",59.8,5.71,7.59,188,10.1,NA,"11.3","190",10.3,NA,"14.5",NA,NA,99.3,"0.15","0.99","0.62",65.2,"0.08","0.23","0.29","0.21","0.22","nd","80.3","nd","nd",13.8,"0.012","4.42",51.7,"27.8","0.585","nd","0.453","0.0314","28.7","Base"
"15","CON",2006-10-16 08:50:00,"9.9","0.853",64.6,7.3,7.2,466,6.6,NA,"nd","220",8.7,NA,"10.6",NA,NA,95.5,"0.06","0.83","0.57",63,"nd","0.16","0.209","0.22","0.24","nd","89.8","nd","0.0235",16.1,"0.0107","4.29",51.8,"44.6","0.23","nd","0.164","0.0193","44.2","Base"
"16","CON",2006-11-13 09:00:00,"6.93","0.873",92,11.25,7.97,354.7,4.7,NA,"2.76","250",14.4,NA,"16",NA,NA,76.6,"0.06","0.81","0.71",73.5,"nd","1.07","0.234","0.21","0.23","nd","109","1.62","0.0251",18.6,"0.0022","4.1",44.8,"54.1","0.236","1.7","0.223","0.0103","56.5","Base"
"17","CON",2006-12-05 09:15:00,"0.38","0.864",104,15,8.02,340,16.5,NA,"2.21","270",14.3,NA,"16.2",NA,NA,72.5,"0.05","3.02","0.48",87.1,"nd","0.72","0.361","0.17","0.2","nd","111","nd","0.0278",18.4,"0.00211","3.19",35.9,"63.7","0.131","nd","0.179","0.00839","64.1","Base"
"18","CON",2007-01-10 11:20:00,"1.96","0.77",100.7,13.9,8.2,317.2,12,NA,"12.1","250",17.1,NA,"21.8",NA,NA,57,"0.05","3.71","0.51",69.6,"nd","0.81","0.363","0.12","0.17","nd","106","nd","0.0187",16.2,"0.00302","2.65",29.4,"57.6","0.456","nd","0.398","0.0157","58.8","Base"
"19","CON",2007-03-08 09:30:00,"0.24","1.361",101,14.6,7.95,313,0,NA,"6.65","250",16.8,NA,"16.7",NA,NA,230,"0.08","4.33","0.44",94.6,"nd","1.01","0.241","0.14","0.16","nd","124","1.98","0.0207",19.3,"0.00209","3.2",111,"30.5","0.249","0.00192","0.205","0.00891","30.8","Base"
"20","CON",2007-04-10 09:56:00,"3.57","1.123",106,14.02,7.96,184,1.1,NA,"1.56","280",17.5,NA,"21.5",NA,NA,152,"0.08","0.82","0.24",105,"nd","0.18","0.281","0.14","0.1","nd","126","nd","nd",21.7,"0.00168","2.33",68,"42.3","0.101","nd","0.0625","0.00501","44.4","Base"
"21","CON",2007-05-09 08:58:00,"15.35","1.145",79.3,7.91,8.7,197.2,16.5,NA,"17.62","280",18.8,NA,"23.8",NA,NA,136,"0.09","2.07","0.49",105,"nd","0.48","0.294","0.13","0.19","nd","135","2.35","nd",24.2,"0.00663","3.24",70.9,"42.1","0.843","nd","0.606","0.0325","39.9","Base"
"22","CON",2007-06-13 09:23:00,"17.2","1.043",48,4.6,7.39,219.6,6.5,NA,"7.78","240",15.4,NA,"17.9",NA,NA,161,"0.11","0.49","0.59",60.6,"nd","0.1","0.181","0.2","0.22","nd","98.2","nd","nd",17.8,"0.0561","3.87",74.6,"16.7","0.337","2.52","0.305","0.0601","16.9","Base"
"23","CON",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.855856","200",15,NA,"11.4",NA,NA,138,"0.08","0.84","0.63",40.9,"0.06","0.18","0.432","0.22","0.23","nd","79.3","2.13","nd",13.9,"0.00992","4.18",74.5,"11.3","0.398","2.62","0.348","0.0285","11.7","Base"
"24","CON",2007-08-01 11:58:00,"20.65","0.94",45,4.03,7.59,326.2,5.3,NA,"3.153331","210",15.1,NA,"7.7",NA,NA,137,"0.12","0.24","0.59",46,"nd","0.03","0.553","0.21","0.22","nd","85.2","2.42","nd",14.8,"0.0807","4.21",74.9,"14.7","0.244","2.29","0.226","0.101","14.7","Base"
"25","CON",2007-09-04 09:20:00,"18.4","1.087",33,3.11,7.15,93,6.3,NA,"5.03876","260",15.6,NA,"15.8",NA,NA,139,"0.21","0.13","0.62",67.3,"0.06","u","0.355","0.23","0.28","u","102","u","0.0238",18.5,"0.755","5.11",83,"32.6","0.219","nd","0.338","0.78","57.5","Base"
"26","CON",2007-11-05 11:53:00,"9.29","1.139",68,7.75,7.48,-203.7,2.8,NA,"1.56128","210",10.5,NA,"9",NA,NA,147,"0.078","2.44","0.63",128,"nd","0.63","nd","0.11","0.15","nd","112","4.7","nd",18.4,"0.00882","5.12",79.5,"43.3","0.173","5.11","0.147","0.0128","43.9","Base"
"27","CON",2008-02-11 10:54:00,"-0.24","0.958",94.3,13.84,8.72,171.1,4.4,NA,"4.678363","220",4.2,NA,"3.8",NA,NA,159,"0.056","8.09","0.44",79.2,"nd","1.95","0.177","0.14","0.16","nd","112","3.1","0.0177",17.1,"0.0014","2.71",83.8,"25.3","0.24","4.29","0.189","0.00737","28","Base"
"28","CON",2008-03-25 09:36:00,"2.9","0.79",105,14.15,7.6,-176,5.6,NA,"6.289308","200",3,NA,"3.6",NA,NA,94,"0.034","3.44","0.32",59.2,"nd","0.82","0.253","0.14","0.19","nd","86.4","2.4","nd",13.5,"0.0014","2.12",52.7,"12.8","0.264","2.37","0.281","0.00954","17.3","Base"
"29","CON",2008-04-16 08:52:00,"6.68","0.952",103,12.56,7.78,-129,1.2,NA,"-0.3913894325","240",3.4,NA,"2.8",NA,NA,110,"0.047","0.36","0.2",81.6,"nd","0.11","0.162","0.09","0.09","0.064","108","2","nd",18.4,"0.002","2.28",57.2,"7.7","0.113","1.62","0.0644","0.00378","5.49","Base"
"30","CON",2008-06-09 10:37:00,"21.53","0.794",78.8,6.91,7.89,-69.2,19.6,NA,"37.86086","240",3.6,NA,"3.7",NA,NA,82,"0.059","2.61","0.54",73.5,"nd","0.59","0.41","0.28","0.31","0.0545","106","0.07","0.0204",17,"0.0034","5.01",55.7,"6.9","0.665","1.57","0.946","0.0394","23","Base"
"31","CON",2008-07-30 09:35:00,"20.47","0.8",NA,6.63,7.26,180.6,9.4,6.9,"6.65883","210",NA,NA,NA,NA,NA,90.9,"0.073","0.78","0.62",43.8,"nd","0.15","0.28","0.22","0.26","nd","74.3","3","0.0136",12.1,"0.0143","4.11",57.8,"10.5","0.543","3.13","0.61","0.0386","8.78","Base"
"32","CON",2008-08-12 14:58:00,"19.18","0.738",73.6,6.75,7.77,321.9,9.3,NA,"8.16485","180",3.4,NA,"3.7",NA,NA,89.4,"0.056","0.8","0.63",44.3,"nd","0.16","0.215","0.21","0.25","nd","72.9","2.8","0.016",12,"0.0212","3.89",56.9,"nd","0.447","3.37","0.434","0.0336","nd","Base"
"33","CON",2008-09-17 12:31:00,"17.84","0.823",73.6,6.97,7.71,-11.2,13.3,NA,"60.9375","200",3.3,NA,"3.8",NA,NA,NA,NA,NA,NA,NA,"nd","0.22","0.353","0.26","0.32","nd","77.7","2.5","0.0212",13.4,"0.0405","4.34",69.8,"24","0.55","3","0.75","0.0695","14.9","Base"
"34","CON",2008-10-15 10:28:00,"15.9","0.949",46.1,4.49,6.48,374.4,8.4,NA,"20.11263","190",3.6,NA,"3.7",NA,NA,138,"0.087","0.25","0.72",69.9,"nd","0.05","0.144","0.29","0.29","nd","81.7","2.5","0.0361",14.5,"0.113","4.94",81.5,"6.8","0.285","2.9","0.363","0.15","10.8","Base"
"35","CON",2008-12-09 11:00:00,"1.31","1.2",93.1,13.07,7.7,281,2.3,NA,"3.2981530343","160",4,3.302,"4.3",3.642,NA,218,"0.087","4.99","0.51",81,"0.48","1.2","0.537","0.2","0.21","nd","90.3","3.4","0.0101",17.9,"0.0033","4.77",105,"11.5","0.0912","15.7","0.094","0.00679","12.3","Base"
"36","CON",2009-01-26 13:14:00,"-0.08","0.699",105.5,15.42,7.57,-32.1,-1.1,NA,"3.2245062475","190",3,3.0525,"3.2",3.312,NA,265,"0.11","4.2","0.39",98.2,"nd","0.88","0.209","0.14","0.24","nd","97.7","4.1","0.0065",20,"0.0017","3.91",143,"17.2","0.0555","4.09","0.0676","0.00433","16","Base"
"37","CON",2009-02-24 08:44:00,"-0.16","1.833",101.5,14.76,13.9,195,-0.1,NA,"1.9623233909","190",3.2,3.9125,"2.9",3.688,NA,404,"0.1","3.06","0.31",91.7,"nd","375","nd","0.3","0.12","nd","107","2.7","nd",19.5,"0.0011","3.79",218,"19.7","0.101","2.9","0.118","0.00627","23.5","Base"
"38","CON",2009-03-17 14:35:00,"12.18","1.251",124.8,13.32,9.88,268.8,1.9,NA,"2.02511","230",3.4,4.177,"3.3",3.953,NA,217,"0.083","0.44","0.31",92.4,NA,"0.09",NA,NA,NA,"nd","89.3","1.8","0.0138",16.9,"0.0012","3.59",120,"18.6","0.0734","2.84","0.103","0.00559","28","Base"
"39","CON",2009-04-27 11:43:00,"17.74","0.886",108.5,10.29,8.1,309.2,10.1,NA,"13.86825","230",3.7,3.98,"3.4",3.551,NA,130,"0.061","1.97","0.46",80.7,"nd","0.45","0.592","0.15","0.17","nd","92.8","1.8","0.0117",16.6,"0.004","3.01",64.2,"18.4","0.635","2.27","0.656","18.9","20.1","Base"
"40","CON",2009-05-21 14:32:00,"16.89","0.528",89.7,8.53,7.19,127.7,10.8,NA,"17.03992","240",3,3.104,"3.6",3.398,NA,121,"0.073","2.71","0.55",77.4,"nd","0.54","0.529","0.16","0.22","nd","115","2.5","0.0147",19.2,"0.0031","3.61",76.7,"nd","0.459","3.82","0.462","0.0232","nd","Base"
"41","CON",2009-06-09 11:19:00,"19.14","0.996",58,5.36,7.95,154.5,9.2,NA,"16.30867","230",5.3,3.951,"5.2",3.685,NA,124,"0.092","1.62","0.66",63.1,"nd","0.46","0.561","0.19","0.24","0.0421","94.6","nd","0.0155",17.3,"0.0039","4.16",79.9,"19","0.553","nd","0.544","0.0252","20.6","Base"
"42","CON",2009-07-16 08:06:00,"19.67","0.905",NA,5.01,7.71,182,5.3,2.5,"10.64701","220",3.1,3.672,"3.4",3.58,NA,112,"nd","0.43","0.46",54.4,"nd","0.09","0.407","0.21","0.25","0.055","85","2.4","0.0525",15.6,"0.014","3.96",61.9,"19.5","0.411","1.99","0.336","0.0301","21.4","Base"
"43","CON",2009-09-14 11:46:00,"16.74","0.954",67.1,6.5,7.82,168,12.4,NA,"13.48671","210",3.5,3.855,"3.7",3.934,NA,114,"nd","0.74","0.5",62.4,"nd","0.19","0.698","0.33","0.25","nd","91","4.2","0.0085",15.6,"0.0068","4.53",75.3,"7.1","0.199","3.85","0.302","0.0259","8.18","Base"
"44","CON",2009-10-06 10:46:00,"12","0.89",76.5,8.19,9.05,50.1,12.9,NA,"21.05263","220",4,3.736,"4.3",3.839,NA,93.7,"nd","0.96","nd",62,"nd","0.22","0.616","0.21","0.25","nd","91.2","3.3","0.0059",15.6,"0.0036","4.34",67,"0.008","0.37","3.87","0.546","0.0319","10.8","Base"
"45","CON",NA,"1.79","1.138",105.5,14.63,8.22,81.5,1.1,2.2,"-4.84457","270",NA,3.786,NA,3.698,0.28,113,"nd","0.95","0.39",82.2,"n","0.26",NA,"0.16","0.15","0.0617","119","2","0.0061",22,"0.0014","3.7",58.1,"24.6","0.118","nd","0.0864","0.00503","nd","Base"
"46","CON",2010-02-01 13:26:00,"0.14","1.512",108.4,15.7,8.16,68,0.1,0,"0","270",2.6,NA,"2.5",NA,NA,198,"nd","3.09","nd",96.1,"nd","0.74","0.569","0.07","0.08","0.064","127","2.6","0.0085",21.8,"0.0022","2.9",97.3,"33.7","0.109","1.72","0.0803","0.00551","36","Base"
"47","CON",2010-03-17 12:50:00,"8.67","1.084",125.2,14.54,8.14,81,6.1,NA,"8.46774","260",3.8,3.361,"3.6",3.169,NA,143,"n","1.59","nd",76.5,"n","0.41","0.813","0.09","0.11","0.0519","106","2","0.0119",17.7,"0.0056","2.86",83.4,"36.3","0.21","2.56","0.18","0.0135","35","Base"
"48","CON",2010-04-01 09:58:00,"9.48","1.028",105.2,11.99,8.12,20.6,4.1,NA,"12.54045","290",NA,3.278,NA,3.144,NA,127,"n","0.6","nd",82.5,"n","0.14","0.66","0.09","0.14","0.0418","114","nd","nd",20.3,"0.0048","2.53",69.5,"33.5","0.143","nd","0.115","0.0111","35.2","Base"
"49","CON",2010-05-25 08:55:00,"18.12","1.046",82.2,7.74,7.87,155,22.9,3.4,"24.64066","260",NA,3.698,NA,3.752,NA,119,"nd","1.88","0.5",77.2,"n","0.47","0.734","0.15","0.26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Base"
"50","CON",2010-07-06 09:10:00,"21.14","1.037",68.6,6.08,7.73,277.9,7.9,NA,"10.51355","260",NA,63.02,NA,62.96,NA,NA,NA,NA,NA,NA,"nd","0.32","0.633","0.2","0.28","0.0332","103","3.3","0.0165",17.3,"0.0042","4.5",60.3,"nd","0.39","3.9","0.32","0.0172","nd","Base"
"51","CON",2010-08-04 11:55:00,"24.29","1.011",46,3.86,7.65,163.9,-3.4,NA,"1.97239","260",NA,3.757,NA,3.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0363","95.5","2.7","0.0086",15.9,"0.142","4.53",67.9,"nd","0.0799","1.77","0.0694","0.143","nd","Base"
"52","CON",2005-07-13 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"6.5","230",4.3,NA,"5.7",NA,NA,120,"0.14","0.58","0.7",67.8,"nd","0.16","0.34","0.19","0.2","nd","98.8","nd","nd",17.5,"0.0368","4.44",65,"nd","0.442","nd","0.665","0.0744","nd","Storm"
"53","CON",2005-07-13 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"63.2","210",4.9,NA,"7.5",NA,NA,111,"0.12","1.23","0.61",63.2,"nd","0.3","0.82","0.18","0.28","nd","91.4","nd","nd",16.3,"0.0343","4.47",60.5,"nd","1.53","nd","2.22","0.134","nd","Storm"
"54","CON",2005-07-13 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"372","160",8,NA,"10",NA,NA,75.1,"0.09","2.88","0.74",52.5,"0.07","0.6","2.11","0.19","1.4","nd","77.8","nd","0.0352",14.9,"0.00381","5.83",44.2,"nd","7.04","13.2","11.3","0.667","55.8","Storm"
"55","CON",2005-07-13 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"178","120",8.9,NA,"9",NA,NA,66.2,"nd","3.4","0.73",33.8,"nd","0.75","1.83","0.19","1.18","nd","51.3","nd","0.0415",9.01,"0.003","4.89",39.8,"nd","4.25","9.4","6.16","0.298","nd","Storm"
"56","CON",2005-07-13 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"190","120",8.5,NA,"8.6",NA,NA,71.5,"0.07","3.17","0.61",31.3,"nd","0.71","1.38","0.26","0.71","nd","51.5","nd","0.119",8.74,"0.00659","4.43",42.8,"nd","3.11","7.12","4.42","0.186","nd","Storm"
"57","CON",2005-07-13 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"78.6","130",8.2,NA,"8.3",NA,NA,69.5,"nd","3.26","0.63",32.4,"nd","0.73","1.02","0.17","0.57","nd","51.4","nd","0.0496",8.66,"0.00302","4.05",42.7,"nd","2.46","6.23","3.27","0.123","nd","Storm"
"58","CON",2005-07-13 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"55","140",8.1,NA,"8.8",NA,NA,75.2,"0.07","3.07","0.59",33.2,"nd","0.71","0.91","0.2","0.5","nd","54.9","nd","0.0397",9.2,"0.00361","4.02",45.4,"nd","1.97","5.44","2.6","0.0959","nd","Storm"
"59","CON",2005-08-29 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"nd","220",6.2,NA,"8.5",NA,NA,107,"0.12","0.32","0.67",54.8,"0.07","0.1","0.25","0.2","0.22","nd","91.2","2.22","0.0241",15.5,"0.0921","4.46",71.1,"11.7","0.161","3.25","0.272","0.112","12.6","Storm"
"60","CON",2005-08-30 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"7.1","220",6.8,NA,"8.5",NA,NA,106,"0.11","0.96","0.67",57.2,"nd","0.26","0.19","0.2","0.22","nd","89.1","2.52","nd",15.5,"0.0643","4.42",70,"12.7","0.231","3.38","0.381","0.0826","14.7","Storm"
"61","CON",2005-08-30 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"56.1","210",7.7,NA,"7.8",NA,NA,101,"0.1","1.11","0.68",51.8,"nd","0.3","0.47","0.21","0.36","nd","82.7","2.89","nd",14.1,"0.0611","4.26",65.2,"8.69","1.39","4.42","2.09","0.15","18","Storm"
"62","CON",2005-08-30 11:00:00,"21.04","0.845",91.5,8.13,7.42,227,51.5,NA,"520","98",6.3,NA,"14",NA,NA,45.9,"0.02","3.62","0.81",26.9,"0.07","0.74","2.28","0.29","2.09","0.0225","34","3.4","0.0906",5.25,"0.00503","4.55",33.8,"6.11","11.8","19.6","19.8","0.944","81.6","Storm"
"63","CON",2005-08-30 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"66.7","84",5.8,NA,"7.2",NA,NA,35.7,"0.02","3.62","0.63",19.1,"0.05","0.78","1.34","0.19","0.9","nd","30.9","3.03","0.0205",4.33,"0.000945","3.24",26.7,"5.87","5.97","9.83","8.56","0.318","44.7","Storm"
"64","CON",2005-08-30 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"267","77",5.9,NA,"6.8",NA,NA,31.4,"0.02","4.26","0.69",20.1,"0.11","0.92","1.59","0.21","1.14","nd","29.1","3.24","0.0231",3.98,"0.000913","3.19",22.7,"6.48","7.24","11.4","11.1","0.409","48.2","Storm"
"65","CON",2005-08-30 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"nd","86",6.4,NA,"24",NA,NA,30.7,"0.02","6.53","0.7",22.3,"nd","1.47","1.4","0.74","0.75","nd","35.3","3.84","0.0335",4.66,"0.000929","3.44",20.8,"9.32","4.82","8.74","6.5","0.224","33.2","Storm"
"66","CON",2005-08-30 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"122","94",7,NA,"8.3",NA,NA,37.9,"0.02","6.6","0.67",25.3,"nd","1.53","1.34","0.19","0.61","nd","40.6","3.78","0.0269",5.47,"0.000619","3.39",23.1,"8.22","3.91","7.71","5.24","0.185","28.6","Storm"
"67","CON",2005-08-30 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"198","120",6.4,NA,"7.6",NA,NA,44.7,"0.03","7.1","0.69",27.9,"0.06","1.52","2.66","0.21","0.48","0.065","48.3","4.08","0.0967",6.71,"0.00349","3.78",27,"7.38","2.31","6.43","3.15","0.12","21.9","Storm"
"68","CON",2005-08-31 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,"46","130",6.4,NA,"7.9",NA,NA,48.8,"0.04","6.55","0.64",31.5,"nd","1.44","0.82","0.18","0.35","nd","52.5","3.81","0.032",7.42,"0.00121","3.49",30.6,"7.86","1.8","5.39","2.36","0.0928","17.5","Storm"
"69","CON",2006-04-18 11:45:00,"12.99","0.744",118,12.38,8.3,129,13,NA,"15.1","230",7,NA,"8.5",NA,NA,64.5,"0.04","1.56","0.43",61.3,"nd","0.36","0.35","0.15","0.26","nd","96.4","3.7","nd",15.2,"0.00489","2.24",37.7,"9.26","0.631","3.92","0.564","0.033","11","Storm"
"70","CON",2006-09-06 00:30:55,"17.61","0.727",60.9,5.8,7.48,-8,148.8,NA,"212","180",15,NA,"18.9",NA,NA,86.8,"0.1","1.1","0.85",57.5,"0.23","0.28","2.08","0.3","0.87","nd","72.7","1.89","nd",12.6,"0.0405","4.61",47.6,"31.8","7.89","8.74","7.78","0.358","64.6","Storm"
"71","CON",2006-09-06 02:30:00,"18.05","0.539",91.4,8.63,7.78,-10,166.7,NA,"159","140",13,NA,"16.6",NA,NA,62.3,"0.06","2.96","0.72",42.2,"nd","0.65","0.38","0.26","0.7","nd","52.7","2.82","nd",8.66,"0.00245","4.41",39.4,"32.1","9.36","1.01","7.62","0.302","58.1","Storm"
"72","CON",2006-09-06 04:30:00,"17.68","0.604",87.9,8.36,7.72,-7,55.4,NA,"44.1","130",12,NA,"14.2",NA,NA,86.7,"nd","3.13","0.65",42.6,"nd","0.7","0.42","0.21","0.35","nd","53.6","nd","1.81",8.55,"0.0019","4.11",49,"26.8","2.99","3.44","2.46","0.0952","33.2","Storm"
"73","CON",2006-09-06 06:30:00,"17.33","0.603",86.4,8.28,7.69,-4,36.3,NA,"36.3","130",12.2,NA,"13.9",NA,NA,92.4,"nd","2.97","0.59",40.9,"nd","0.62","0.16","0.2","0.3","nd","54.1","nd","0.0207",8.64,"0.00225","3.9",47.9,"23.4","1.94","2.88","1.73","0.0706","41.9","Storm"
"74","CON",2006-09-06 08:30:00,"17.16","0.632",85.1,8.18,7.7,-4,26.3,NA,"26.8","140",12.5,NA,"16",NA,NA,88.5,"nd","2.48","0.6",42.6,"nd","0.52","0.37","0.2","0.28","nd","59.1","nd","0.0202",9.42,"0.00292","4.02",48.6,"28.1","1.43","2.3","1.35","0.053","32.3","Storm"
"75","CON",2006-09-06 10:30:00,"17.22","0.648",82.9,7.97,7.69,-17,21.9,NA,"24.1","150",13,NA,"15.9",NA,NA,90.2,"nd","2.26","0.58",50.2,"nd","0.48","0.28","0.2","0.27","nd","60.9","nd","0.0216",9.88,"0.00338","3.79",47.8,"23.8","1.18","2.02","1.15","0.0448","31.9","Storm"
"76","CON",2006-09-06 11:30:00,"17.41","0.656",84.3,8.07,7.69,-19,20.6,NA,"21.8","150",13.8,NA,"16.1",NA,NA,89.9,"nd","2.16","0.6",44.6,"nd","0.46","nd","0.21","0.24","nd","62.8","nd","0.0163",11.2,"0.00347","3.93",48.8,"25.6","0.999","1.56","1.05","0.0411","28.9","Storm"
"77","CON",2006-09-12 06:32:00,"19.26","0.758",61.6,5.68,7.59,183,95.6,NA,"369","170",10.4,NA,"14.1",NA,NA,91.4,"0.05","1.99","0.89",48.8,"nd","0.49","1.48","0.31","1.37","nd","67.9","nd","0.0498",11.7,"0.00792","5.1",51.5,"28","9.23","12.5","12.3","0.625","80.6","Storm"
"78","CON",2006-09-12 08:35:00,"19.79","0.488",92.3,8.42,7.91,180,192.3,NA,"276","120",14,NA,"16",NA,NA,45,"0.03","3.9","0.74",33.8,"nd","0.95","1.45","0.3","1.24","0.041","43.8","1.94","0.0483",7.08,"0.00231","5.67",28.2,"20.2","9.82","12.8","12.3","0.529","67.9","Storm"
