site_id,sampling_date,time,flow_cond,temp,sp_cond,do_sat,do,ph,orp,turb,chlor,ssc,alk,doc_r5,doc_awberc,toc_r5,toc_awberc,f,cl,br,no3,o_po4,so4,nh3_n,din,tkn,tdp,tp,al_diss,ca,cu_diss,fe_diss,mg,mn_diss,k,na,zn_diss,al_tr,cu_tr,fe_tr,mn_tr,zn_tr
DRI,9/13/06,0:03,storm,19.35,0.53,87.6,8.06,7.96,382,23.2,,17.8,220,19.6,,19.8,,,34.1,0.03,10.6,0.81,50.5,nd,2.45,0.98,0.32,0.35,nd,82.8,14,0.03,12.4,0.01,5.76,19,29.5,0.85,1.82,1.06,0.06,34.2
DRI,2/20/07,11:00,storm,-0.2,2.65,102.4,14.9,7.57,359,87,,101.32,120,23.8,,23.8,,,724,0.14,5.68,1.56,42.7,1.01,1.34,3.12,0.55,0.91,0.14,80.5,5.79,0.14,10.8,0.05,9.46,359,34.7,4.9,9.01,3.67,0.19,53.2
DRI,3/1/07,9:47,storm,3.91,0.99,97.3,12.7,7.77,346.8,35.2,,,nd,13.9,,18.8,,,150,0.06,6.54,0.88,58.2,0.52,1.48,1.54,0.32,0.45,0.04,82.4,2.75,0.08,12.6,0.02,5.96,80.1,26.6,1.8,3.74,1.29,0.05,33.4
DRI,3/1/07,11:10,storm,4.46,0.91,100.5,12.97,7.86,328,35.2,,,30,12.1,,19.5,,,138,0.06,6.3,0.67,54,0.4,1.46,1.46,0.25,0.36,0.03,75.4,2.8,0.04,11.2,0.02,5.26,75.9,26.3,1.89,3.72,1.35,0.05,31.1
DRI,3/1/07,14:03,storm,5.34,0.82,97.6,12.33,7.83,312,24.6,,,16,12.6,,16,,,115,0.05,6.62,0.6,50.7,0.24,1.52,0.96,0.25,0.3,nd,73.6,2.48,0.05,10.5,0.02,4.35,63,29.4,1.29,2.4,0.99,0.04,30.6
DRI,3/15/07,19:00,storm,7,0.85,121,14.65,7.8,-200,18.5,5.1,,250,14.3,,37.2,,,157,0.09,5.02,0.4,91.8,,,1.3,0.14,0.66,nd,109,3,nd,18.2,0.01,4.93,83.5,23.2,5.21,10.4,5.74,0.26,54.8
DRI,3/15/07,20:53,storm,6.67,0.85,119.3,14.57,7.78,-202,15.6,5.3,,220,18.6,,28,,,195,0.08,5.6,0.45,75.6,,,0.8,0.16,0.21,nd,98.8,5.34,0.02,17.6,0.01,5.09,102,23.8,0.93,6.67,0.82,0.04,23.3
DRI,3/16/07,7:32,storm,5.06,0.87,120.4,15.31,7.77,-209,7.9,3.3,,230,19,,15.7,,,148,0.08,5.8,0.53,78.3,nd,1.29,1.01,0.18,0.66,nd,94,3.99,nd,15.8,0.01,4.71,81.6,30,5.57,10.1,6.11,0.34,56.9
DRI,3/16/07,9:20,storm,4.93,0.88,122.4,15.61,7.78,-206,6.5,3.5,,140,14.8,,13.9,,,143,0.06,5.34,0.58,44.7,0.2,1.21,1.06,0.2,0.44,0.03,59.7,8.66,0.03,8.95,0.02,4.9,77.7,23.6,4.24,9.3,3.22,0.12,37.1
DRI,3/16/07,11:20,storm,5.19,0.87,127.1,16.1,7.82,-198,5.1,1.9,,150,16.8,,17.2,,,138,0.05,5.5,0.84,50,0.16,1.27,1.09,0.34,0.48,0.03,65.9,4.76,0.03,9.84,0.03,5.25,75.5,21.9,3.86,7.92,3.19,0.12,34.9
DRI,3/16/07,13:20,storm,5.26,0.87,127.9,16.18,7.84,-193,4.2,2.3,,160,16.3,,15,,,126,0.05,5.56,0.54,50.4,0.06,1.26,0.77,0.24,0.29,0.05,67.6,4.37,0.04,10.3,0.02,4.61,70.1,25.5,2.66,6.61,2.07,0.06,30.3
DRI,3/16/07,15:20,storm,5.42,0.87,128.9,16.24,7.86,-189,4.2,2,,190,17.5,,18.1,,,116,0.05,6.18,0.46,59.2,nd,1.36,0.71,0.16,0.24,0.03,76.6,3.37,0.03,12,0.02,4.5,62.9,23.2,1.85,5.03,1.45,0.05,29
DRI,4/3/07,17:00,storm,17.65,0.85,93.6,8.91,8.06,-196,6.8,3.5,,270,16.8,,28.4,,,66.5,0.09,1.63,0.47,99,0.18,0.36,0.69,0.16,0.2,0.04,111,2.16,nd,19.6,0.04,3.69,34.5,32.1,0.34,nd,0.33,0.05,nd
DRI,4/3/07,19:00,storm,16.16,0.81,82.1,8.06,7.93,-211,128.7,7.5,,260,17.3,,29.8,,,67.5,0.08,3.17,0.94,89,nd,0.69,3.49,0.33,2.9,0.04,102,1.84,nd,18,0.04,3.93,34.4,28.3,15.9,25.4,26.7,1.51,133
DRI,4/3/07,20:00,storm,16.06,0.3,94.5,9.3,7.78,-201,564.3,31.2,,94,13.2,,16.4,,,31,0.02,3.11,0.9,22.3,0.28,0.7,2.42,0.31,2.95,0.03,30.1,4.17,0.05,4.13,0,3.28,17.4,13.8,34.9,31.3,34.7,1.39,146
DRI,4/3/07,21:00,storm,15.51,0.3,95,9.47,7.72,-203,400.6,27.6,,98,15.2,,17,,,23.8,0.02,3.93,0.89,23.3,0.19,0.9,2.08,0.27,1.63,0.07,36.2,5.51,0.18,4.64,0.01,3.47,13.4,18.6,20.7,21.3,19.4,0.64,88.3
DRI,4/4/07,2:00,storm,14.37,0.58,92.2,9.41,7.83,-207,74.9,7.3,,190,16.3,,19.8,,,46.6,0.04,4.5,0.46,54.7,nd,1.03,0.96,0.32,0.5,3.31,79,4.71,2.37,13,0.13,3.79,23.3,35.2,4.23,5.26,3.35,0.16,40.8
DRI,6/19/07,10:40,storm,19.34,0.96,49.5,4.55,7.58,390,-1.1,6.7,6.55,310,21.7,,20.4,,,75.6,0.14,0.63,1.31,88,0.07,0.13,0.6,0.42,0.5,nd,124,1.95,nd,23.2,0.46,5.67,47,14.3,0.12,1.59,0.22,0.47,17.3
DRI,6/19/07,16:00,storm,20.13,0.95,59,5.34,7.66,362,25.7,8.5,36.65,300,23.7,,22.1,,,66.7,0.13,1.26,1.34,80.1,0.14,0.29,0.85,0.47,0.66,nd,118,2,0.04,21.8,0.57,6,44.4,17.6,1.14,3.43,1.43,0.67,21.6
DRI,6/19/07,17:20,storm,20.75,0.51,83.3,7.45,7.78,370,181.5,19,198.89,150,30.4,,30.7,,,29.6,0.06,7.59,0.83,55.5,0.2,1.78,2.27,0.3,0.93,nd,65.1,7.27,0.03,12.1,0.03,4.93,20.7,12.3,6.13,15.8,6.9,0.42,48
DRI,7/19/07,13:40,storm,,,,,,,,,927.33,220,15.8,,12.7,,,56.8,0.08,3.54,0.98,57.5,0.11,0.76,3.72,0.41,2.91,0.03,82.7,3.07,0.02,15.2,0,5.94,32.8,14.6,19.5,30.1,28.6,2.03,141
DRI,7/19/07,15:43,storm,,,,,,,,,355.06,54,9,,7.4,,,13.7,nd,4.32,0.78,13.5,0.17,0.95,1.6,0.26,1.28,0.04,20,2.63,0.06,2.53,0,3.47,9.34,nd,9.62,12.9,12.4,0.44,50.1
DRI,7/19/07,19:43,storm,,,,,,,,,69.52,110,11.4,,9.9,,,30.3,0.02,5.4,0.84,24.6,nd,1.22,0.7,0.29,0.54,nd,39.5,3.52,0.03,5.69,0,5.3,19.4,7.67,3.01,5.96,3.27,0.11,18
DRI,7/19/07,22:43,storm,,,,,,,,,21.88,160,15.3,,11.6,,,43.2,0.04,5.34,0.82,41.7,nd,1.18,0.44,0.3,0.36,nd,64.4,0,0.02,9.89,0,5.98,24.2,0.01,0.92,4.95,1.12,0.06,10.5
DRI,11/29/07,,storm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRI,12/2/07,14:57,storm,,,,,,,,,2.72,230,17.8,,15,,,65.6,0.07,8.12,3.28,108,0.34,,1.2,1.08,1.1,0.08,109,1.4,0.1,18.2,0.03,5.36,41.3,51.3,nd,1.5,0.02,0.02,0.04
DRI,12/2/07,16:57,storm,,,,,,,,,742.3,67,10.8,,12.1,,,10.4,u,3.16,1.03,17.3,0.16,,4.28,0.31,2.87,17.1,38.4,21.6,26.4,8.77,0.81,6.62,6.29,104,0.04,u,0.07,0,0.02
DRI,12/2/07,18:57,storm,,,,,,,,,141.22,88,18.5,,18.6,,,13.3,u,14.4,1.04,30.9,0.1,,2.12,0.38,0.82,4.65,45.2,5.7,4.79,6.3,0.19,4.54,7.25,43.1,0.08,2.1,0.11,0.02,0.03
DRI,12/3/07,0:00,storm,,,,,,,,,13.57,120,11.1,,14.4,,,63.5,u,4.55,0.42,49,u,,0.49,0.12,0.19,0.75,62.9,u,0.69,9.71,0.02,2.14,29.5,37.5,0.04,u,0.05,0,0.03
DRI,2/26/08,0:00,storm,,,,,,,,,12.6,210,4.5,,3.6,,,169,0.09,7.42,0.38,73.8,nd,1.71,0.52,0.12,0.14,nd,107,3,0.04,15.6,0.01,4.4,199,25.8,0.17,3.51,0.26,0.02,24.6
DRI,2/26/08,0:00,storm,,,,,,,,,81.72,130,4.5,,7.2,,,304,0.06,5.72,0.93,42.3,0.35,1.33,2.1,0.26,0.48,nd,62.6,4,0.03,7.9,0.02,4.42,170,19.4,2,6.47,2.53,0.09,31.3
DRI,2/26/08,0:00,storm,,,,,,,,,121.15,110,4.7,,8.2,,,193,0.04,5.78,1.06,34.2,0.38,1.33,0.18,0.31,0.73,nd,50.9,3,0.03,6.16,0.01,3.85,117,15.5,2.56,7.18,3.69,0.14,36.9
DRI,2/26/08,0:00,storm,,,,,,,,,169.57,120,5,,7.9,,,154,0.03,6.96,1.18,33.1,0.36,1.6,1.75,0.35,1.06,0.03,25.4,4,0.04,6.25,0.01,3.83,93,18.2,3.55,10.7,4.73,0.24,45.8
DRI,2/26/08,0:00,storm,,,,,,,,,22.28,150,4.9,,6.5,,,108,0.04,9.21,0.75,44.6,0.22,2.2,1.02,0.22,0.36,nd,67.1,2.6,0.04,8.08,0.02,3.11,64.9,20.6,0.64,3.73,0.88,0.04,21.2
DRI,3/27/08,2:00,storm,8.8,0.66,90.9,10.53,7.72,257,15.6,3.1,9.03,230,4.4,,4,,,35.5,0.05,5.96,0.38,71.6,nd,1.27,0.45,0.14,0.18,nd,83.3,2,nd,13.6,3.8,4.16,25,6.2,0.28,2.4,0.39,0.02,8.27
DRI,3/27/08,3:30,storm,8.55,0.47,97.3,11.35,7.69,203,129.9,11.5,191.96,170,7.4,,6.3,,,128,0.05,6.46,0.44,61.4,0.14,1.37,1.22,0.17,0.79,0.04,77.4,4.5,0.02,12.1,0.01,4.23,74.9,13.6,4.42,14.5,6.9,0.33,46.6
DRI,3/27/08,5:00,storm,8.16,0.25,99.4,11.72,7.56,191,368.8,29.7,632.46,110,6.6,,6.1,,,51.7,nd,4.26,0.72,29.7,0.19,0.88,2.7,0.27,2.04,0.07,36.5,2.8,0.05,5.33,0.01,3.9,35.8,5.3,12.6,20.9,18.4,0.77,83.7
DRI,3/27/08,6:30,storm,7.95,0.29,99.1,11.75,7.54,205,146.9,14.5,266.11,83,7.4,,6,,,16.6,nd,3.72,0.71,21,0.14,0.78,1.82,0.26,1.15,0.11,28.7,3.1,0.13,3.78,0.01,2.72,12.3,5,6.94,11.1,9.83,0.31,44.1
DRI,3/27/08,9:30,storm,8.2,0.39,98.9,11.65,7.62,211,77.8,9.6,,120,7.4,,5.9,,,21.5,nd,6.06,0.54,31.1,0.07,1.3,1.08,0.22,0.5,0.06,51.6,4.1,0.09,6.25,0.02,2.96,15.7,nd,3.79,6.9,3.99,0.1,15.2
DRI,4/28/08,18:30,storm,12.09,0.76,81,8.69,7.94,227,15.2,3,15.73,230,5.9,,6.4,,,48.3,0.07,3.62,0.43,75.9,0.56,2.76,0.75,0.18,0.24,nd,100,1.4,nd,17.4,0.02,4.08,30.8,7.8,0.17,1.79,0.33,0.04,7.97
DRI,4/28/08,20:00,storm,11.46,0.53,90.5,9.86,7.95,211,112.6,12.3,125.87,150,9.1,,11.7,,,34.2,0.04,5.27,0.59,46.9,0.7,3.03,1.94,0.31,0.67,nd,60.2,4.3,0.04,9.38,0.01,3.66,25.1,6.4,3.16,9.37,4.73,0.2,28.4
DRI,4/28/08,21:30,storm,11.09,0.48,88.2,9.69,7.86,221,69.3,6.2,60.84,140,8.1,,9,,,43.3,0.04,5,0.5,37.8,0.32,1.17,0.9,0.2,0.43,nd,53.4,3.5,0.04,7.99,0.01,3.76,29.7,7.2,1.85,5.98,2.73,0.1,16.3
DRI,4/28/08,23:00,storm,10.65,0.5,84.7,9.4,7.82,231,48,4.6,45.02,140,7,,7.7,,,42.9,0.04,4.96,0.52,39.5,0.22,0.93,0.66,0.21,0.37,nd,58,2.7,0.11,8.77,0.01,3.62,30.2,5.1,1.36,4.7,2.03,0.07,12
DRI,4/29/08,5:00,storm,9.08,0.64,83.8,9.66,7.86,268,17.5,3.5,10.25,200,5.3,,5.7,,,46.9,0.05,4.57,0.4,55.4,nd,0.99,0.24,0.16,0.22,nd,78.9,1.7,0.03,13.2,0.01,3.76,31.6,nd,0.42,1.87,0.67,0.03,6.6
DRI,7/8/08,22:00,storm,21.42,0.77,64.2,5.67,7.46,320,5.1,3,5.07,,5.4,,5.7,,,40.2,0.06,1.34,0.51,68,0.06,0.26,0.68,0.26,0.3,nd,105,2.5,0.07,17.5,0.21,6.98,28.8,nd,0.11,2.6,0.2,0.23,nd
DRI,7/9/08,10:00,storm,20.49,0.78,66.8,6,7.55,308,4.8,2.7,2.64,,4.9,,5.1,,,39.4,0.06,1.46,0.52,69.7,nd,0.3,0.56,0.27,0.31,nd,105,2.6,0.02,17.8,0.21,6.86,28.8,5.8,0.14,2.69,0.24,0.23,nd
DRI,7/9/08,11:30,storm,20.52,0.77,67.1,6.03,7.55,310,6.7,3,2.64,,5.2,,6.2,,,38.4,0.06,1.51,0.47,69.6,nd,0.32,0.84,0.27,0.32,0.03,103,2.8,0.03,17.1,0.15,6.88,27.9,13.9,0.39,2.72,0.59,0.19,5.3
DRI,7/9/08,13:00,storm,20.66,0.75,81.8,7.33,7.71,310,69.5,4.8,57.62,,5.1,,8.2,,,36.1,0.06,1.54,0.56,69,nd,0.46,1.06,0.25,0.45,nd,102,2.1,0.02,17.4,0.03,6.9,27.1,nd,2.12,4.71,2.56,0.17,13.5
DRI,7/9/08,14:30,storm,20.85,0.67,80.1,7.15,7.74,322,93.4,5.6,233.32,,8.1,,14.2,,,32,0.05,1.76,0.57,61.3,0.44,0.7,1.73,0.2,0.92,nd,88.9,2.4,0.04,15.5,0.14,6.28,24.3,nd,5.68,11,7.42,0.39,34
DRI,11/12/08,21:00,storm,8.5,0.92,32.3,3.77,7.11,-102,13.9,3.4,6.45,260,22.1,,9.4,,,73.9,0.12,0.14,0.56,103,nd,0.05,0.58,0.21,0.25,nd,109,2.7,0.13,19,0.79,8.36,44.8,14.8,0.13,10.1,0.31,0.82,15.3
DRI,11/13/08,1:30,storm,8.51,0.91,39.8,4.64,7.11,-171,0.4,3.1,8.82,260,10.9,,9.3,,,71.1,0.11,nd,0.6,81.3,nd,0.05,0.54,0.23,0.26,nd,106,6.3,0.12,18.4,0.79,8.48,43.2,12.8,0.05,10.8,0.23,0.82,15.3
DRI,11/13/08,6:00,storm,8.94,0.56,71.4,8.25,7.4,-14,15.5,7,10.83,170,11.7,,10.5,,,38.8,0.06,2.25,1.04,55.9,0.05,0.62,0.77,0.32,0.41,0.02,67.8,7.1,0.06,12.8,0.05,7.94,26.7,14.6,0.58,68.6,7.67,0.06,10.2
DRI,12/9/08,14:30,storm,4.89,1.88,91.1,11.6,7.64,-9,96.2,11.8,55.03,70,8,7,12.9,8.24,,526,0.07,3.46,0.66,24.4,nd,0.83,0.87,0.27,0.57,0.03,62.8,3.8,0.04,8.66,0.04,6.35,281,nd,3.61,8.26,3.53,0.13,10.1
DRI,12/9/08,17:30,storm,6.2,1.52,89,10.97,7.59,4,40.8,10.6,9.65,84,7.6,6.81,9.8,7.94,,412,0.05,5.85,0.68,32.2,nd,1.42,0.71,0.27,0.39,0.05,64.6,4.7,0.08,8.81,0.03,6.76,218,nd,1.66,5.4,1.45,0.05,nd
DRI,12/9/08,20:30,storm,6.53,1.57,85.5,10.45,7.56,12,17.9,8.4,6.77,95,8,6.72,8.2,7.76,,422,0.05,6.82,0.63,40.3,nd,1.61,0.61,0.25,0.35,nd,72.7,10.9,0.06,9.92,0.02,6.8,214,6.2,0.65,5.33,0.67,0.03,nd
DRI,12/10/08,4:00,storm,6.5,2,78.1,9.53,7.5,13,6.5,6.7,2.33,140,7.3,6.25,8.2,7.35,,519,0.07,7.12,0.54,61.2,nd,1.66,0.61,0.39,0.24,0.05,104,8.4,0.04,16.7,0.02,7.58,260,nd,0.18,3.98,0.27,0.02,nd
DRI,2/11/09,7:00,storm,7.01,0.72,98.3,11.9,7.59,-40,211.4,15.6,170.37,110,7.9,6.77,12.2,6.56,,139,0.04,7.9,0.58,30.2,0.05,1.82,1.74,0.21,0.84,0.05,44.4,2.2,0.04,5.35,0.01,4.08,85.5,12.4,8.74,12.7,8.18,0.18,48.9
DRI,2/11/09,13:00,storm,7.38,0.69,102,12.24,7.65,-43,21.7,7.8,4.32,140,6.9,6.78,6.4,6.45,,87.4,0.03,15.6,0.48,50.3,nd,3.3,0.91,0.17,0.25,0.06,64.3,3.3,0.06,8.13,0.01,3.81,54.2,13,0.96,nd,0.77,0.03,15.9
DRI,2/11/09,17:30,storm,7.59,0.63,97.4,11.63,7.61,-50,54.5,9.9,29.05,120,8.4,8.47,9.3,7.37,,88.4,nd,12.3,0.6,37,0.11,2.5,1.18,0.21,0.42,0.07,52.4,2.4,0.09,6.36,0.01,3.74,67.1,11,2.71,3.17,2.22,0.06,22.9
DRI,2/11/09,19:00,storm,6.89,0.61,97.8,11.89,7.57,-45,62.8,9.9,7.18,120,8.4,8.57,8.7,7.45,,79.7,nd,13.3,0.64,38.1,0.06,2.76,1.21,0.29,0.41,0.06,54.2,2.6,0.08,6.6,0.01,3.71,51.7,13.7,2.34,3.45,2.11,0.06,22.1
DRI,2/11/09,22:00,storm,6.37,0.61,98,12.06,7.59,-42,31.4,8.3,-1.42,140,7.7,8.07,8.2,7.07,,69,0.03,15.3,0.54,44.5,0.05,3.22,0.96,0.19,0.32,0.07,61.4,2.3,0.09,7.68,0.01,3.62,43.6,14.6,1.34,2.81,1.24,0.04,17.8
DRI,3/18/09,21:00,storm,12.03,0.82,7.93,0.11,7.74,-30,7.4,4.9,2.18,280,,4.77,,4.46,,73.8,0.09,2.02,0.38,109,nd,25.9,0.47,0.14,0.42,0.06,102,nd,0.01,18.4,0.01,4.82,48.1,20.2,0.33,2.82,0.27,0.03,22
DRI,3/18/09,22:30,storm,11.7,0.82,8.03,0.11,7.74,-32,6.5,4.8,151.62,110,,10.14,,7.33,,41.3,0.03,3.94,0.33,29.2,0.28,26.4,2.77,0.1,1.37,0.05,32.8,38.3,0.07,5.38,0.05,3.93,28.1,57.7,8.97,11.7,9.49,0.39,58.3
DRI,3/19/09,0:00,storm,11.25,0.77,8.43,0.13,7.76,-42,20.6,5.6,109.41,120,,8.52,,7.02,,46.3,0.03,3.91,0.46,25.8,nd,26.6,1.53,0.12,0.85,0.04,32.8,2.7,0.05,5.04,0.02,3.52,34.1,9.1,7.35,6.34,5.7,0.15,30.1
DRI,3/19/09,1:30,storm,11.12,0.2,10.07,0.2,7.78,-40,155.5,13.6,75.46,160,,7.95,,7.1,,59.6,0.04,5,0.43,41,nd,29.2,1.4,0.23,1.28,0.04,44.9,2.2,0.05,6.99,0.02,3.82,41.3,11.3,4.92,4.21,3.77,0.1,24.2
DRI,3/19/09,7:30,storm,9.82,0.45,9.72,0.16,7.78,-31,28.5,6.9,17.43,240,,6.73,,5.84,,76.1,0.06,5.18,0.36,65.6,nd,26.1,1,0.1,0.76,0.06,78.6,nd,0.03,13.1,0.01,4.48,45.8,15.4,0.86,1.87,0.8,0.04,18.6
DRI,4/28/09,12:30,storm,16.04,0.8,92.2,9.07,10.53,-66,12,3.4,10.96,270,3.8,3.97,3.7,4.04,,48.9,0.09,2.8,0.43,85.4,nd,0.52,0.57,0.15,0.18,0.05,114,nd,0.01,19.9,0.02,4.3,32,23.1,0.34,2.15,0.42,0.04,25.5
DRI,4/28/09,14:00,storm,16.1,0.8,93.1,9.15,9.99,-68,22.8,3,22.88,260,4.4,4.46,4.1,4.39,,51.2,0.09,3.19,0.41,85.2,nd,0.61,0.58,0.29,0.18,0.05,112,2.2,0.01,19.7,0.01,4.33,33.1,21.3,0.76,2.52,0.8,0.06,26.3
DRI,4/28/09,17:00,storm,16.14,0.78,83.6,8.21,11.56,-70,36.3,5.6,34.52,250,8,8.48,7.6,8.53,,54.4,0.08,4.43,0.41,80,nd,0.82,0.86,0.14,0.22,0.05,104,3.1,0.02,18.3,0.02,4.42,34.7,22.7,1.18,3.62,1.22,0.08,28.2
DRI,4/28/09,18:30,storm,16.31,0.79,84.4,8.26,10.59,-70,38.8,6.1,40.96,250,8,8.54,7.6,8.44,,55.7,0.08,4.18,0.41,79.4,nd,0.77,0.79,0.14,0.25,0.05,106,2.7,0.01,18.4,0.02,4.51,36.5,22.8,1.25,3,1.41,0.1,28.3
DRI,4/28/09,21:30,storm,15.86,0.8,78.1,7.71,10.83,-69,15.8,4.2,16.38,250,6.6,7.06,6.1,6.38,,55.3,0.08,3.48,0.45,79.9,nd,0.65,0.61,0.14,0.19,0.04,105,3.1,0.01,18.6,0.02,4.48,35.4,21.7,0.6,2.72,0.6,0.05,25.3
DRI,5/26/09,16:00,storm,18.43,0.86,98.2,6.38,6.65,50,-17.4,5.2,58.54,270,6.6,6.41,7.2,6.03,,51.7,0.1,1.76,0.67,79.5,nd,0.34,0.77,0.21,0.43,0.06,111,2.9,0.02,20.2,0.05,5.29,31.9,24.9,1.64,4.15,1.79,0.17,33.1
DRI,5/26/09,20:30,storm,18.57,0.8,79.6,6.63,7.23,62,-35.9,7.3,19.18,250,7.2,6.91,7.1,6.4,,48.1,0.09,3.31,0.62,71.8,nd,0.65,0.69,0.2,0.27,0.04,101,2.3,0.02,18.2,0.03,5.34,30.9,23.3,0.76,3.03,0.67,0.06,26.3
DRI,5/26/09,22:30,storm,18.51,0.77,78.2,7.52,7.25,63,-28.4,7.5,26.8,240,8.4,8.03,7.8,6.91,,49,0.09,3.46,0.58,66.2,nd,0.68,0.73,0.24,0.29,0.06,94.7,2.4,0.02,17.1,0.01,5.32,30.8,21.1,1.15,3.43,1.1,0.07,26.7
DRI,5/26/09,4:00,storm,17.91,0.77,79.3,6.73,7,73,-41.4,6.2,11.58,240,8.5,8.44,7.8,8.51,,50.9,0.09,2.61,0.66,64.6,nd,0.52,4.53,0.19,0.24,0.04,5.1,0.01,0.01,16.9,0.04,4.99,32.3,22.7,0.59,3.44,0.54,0.06,25.5
DRI,6/10/09,8:00,storm,17.82,0.87,65.6,6.22,7.67,179,6.9,2.4,8.78,280,4.6,3.94,4.4,4.86,,52.5,0.11,1.23,0.73,83.9,nd,0.23,0.53,0.21,0.24,0.06,117,2.5,0.01,21,0.09,5.25,32.7,24.3,0.27,2.29,0.27,0.12,26.6
DRI,6/10/09,11:00,storm,18.8,0.24,94.2,8.76,7.86,171,334.2,17.5,350.56,78,8.1,7.45,8.1,6.57,,15.8,nd,3.61,0.72,18.2,0.06,0.76,1.75,0.2,1.17,0.05,26.9,5.5,0.05,4.13,0,4.64,11.8,8.9,11.2,17.4,13.9,0.6,68.5
DRI,6/10/09,14:00,storm,18.81,0.36,84.8,7.89,7.84,177,143.8,10.3,108.63,120,6.7,6.13,9.6,5.8,,23.3,nd,3.63,0.63,25.5,nd,0.74,0.91,0.24,0.53,0.03,42,3.6,0.03,6.6,0,5.43,16.7,13.3,5.8,6.93,5.12,0.15,31.5
DRI,6/10/09,18:30,storm,19.16,0.45,81.8,7.56,7.88,198,86.9,9.1,50.67,140,7,6.67,8.9,6.09,,32,0.04,3.59,0.59,32.6,nd,0.72,0.71,0.2,0.38,0.04,54.8,3.8,0.02,8.68,0,4.9,21.8,14.8,3.63,6.14,2.9,0.08,25.5
DRI,6/10/09,23:00,storm,18.68,0.59,77.8,7.26,7.87,227,24.9,5.5,18.56,200,6.2,5.39,6.4,5.53,,41.2,0.06,3.52,0.64,48.7,nd,0.7,0.82,0.2,0.26,0.08,75,4.2,0.07,12.8,0.01,5.06,25,19.3,0.83,5.02,0.79,0.04,22.8
DRI,7/29/09,11:00,storm,20.62,0,52.1,0,8.2,234,-4.9,0.9,152.94,110,6.6,6.05,6.6,5.65,,23.6,nd,1.92,0.66,19.2,nd,0.48,0.97,0.22,0.7,0.09,39.8,6,0.12,6.08,0.01,5.17,19,nd,6.05,11.2,5.81,0.26,29.9
DRI,7/29/09,15:30,storm,20.15,0.5,39.5,3.58,8.01,198,25.6,5.9,528.03,130,5.8,5.9,5.6,5.35,,27.5,nd,1.69,0.53,25.1,nd,0.45,2.27,0.22,1.61,0.08,49.4,5.2,0.11,7.79,0,5.54,21.1,nd,10.5,23,17.3,0.85,76.3
DRI,7/29/09,17:00,storm,21.72,0.24,51.3,4.51,7.95,177,661.1,24.3,429.55,94,9.3,9.93,8.1,8.22,,15.9,nd,3.72,1.02,16.2,0.1,0.93,2.59,0.4,1.72,0.12,33.4,6.6,0.19,4.59,0.01,6.25,12.6,nd,11.3,21.7,17,0.5,65.1
DRI,7/29/09,20:00,storm,20.69,0.4,35.7,3.2,8,215,88.8,11.1,74.74,160,9.1,9.31,8.3,7.81,,,nd,6.4,0.79,31.5,0.06,1.62,1.2,0.34,0.56,0.13,63.2,7.4,0.21,8.96,0.01,7.39,23.7,nd,2.28,9.32,3.18,0.11,19.9
DRI,7/30/09,3:30,storm,19.6,0.56,23,2.1,8.09,281,14.2,6.4,15.77,210,7.7,7.33,6.3,6.53,,43.1,nd,4.04,0.65,45.2,nd,1.04,0.76,0.24,0.44,nd,86.7,6.7,0.02,14,0.02,7.21,30.2,nd,0.49,9.17,0.7,0.05,9.75
DRI,10/8/09,11:00,storm,,,,,,,,,1280.3,77,5.9,6.77,39.9,6,,9.47,nd,2.14,1,9.89,0.06,0.38,2.48,0.37,3.62,0.07,21.1,5.5,0.1,2.7,1.7,4.86,6.6,nd,24.6,49.3,43.5,2.36,186
DRI,10/8/09,19:00,storm,13.32,0.2,95,9.93,7.74,155,384.1,21.3,63.95,170,8,8.53,10.1,8.09,,28.2,nd,7.63,0.98,33.9,0.06,1.64,1.31,0.42,0.7,0.04,71.3,7.6,0.09,9.84,0.01,5.92,17.8,6.8,1.7,11.7,2.41,0.12,15.7
DRI,10/9/09,3:00,storm,14.22,0.33,94.1,9.65,7.88,146,226.5,18.7,607.52,89,7.8,8.77,33.2,8.26,,10,nd,6.3,1.28,15.5,0.12,1.36,2.89,0.52,2.47,0.11,33.8,7.7,0.15,4.5,0.01,5.35,6.24,nd,11.7,26.3,18.4,0.82,67.5
DRI,10/9/09,9:00,storm,14.87,0.46,92.7,9.36,7.97,195,78.6,15.6,246.12,110,9.8,9.09,18.9,8.37,,13.6,19.3,nd,6.02,1.28,0.21,1.48,1.87,0.53,1.26,0.1,44,6.8,0.15,5.7,0.03,5.07,8.18,nd,5.54,13.1,7.81,0.37,32.6
DRI,12/8/09,11:00,storm,,,,,,,,,1.06,290,,4.25,,4.21,0.28,316,nd,2.18,0.42,82.9,nd,0.57,0.97,0.2,0.2,0.07,151,2.7,0.01,28.4,0.02,6.24,143,28.7,0.27,nd,0.27,0.03,nd
DRI,12/8/09,19:00,storm,4.41,0.11,115.2,14.94,7.92,107,1367.3,26.8,774.85,92,,7.98,,6.78,0.18,65.9,nd,1.76,1.15,18.8,0.07,0.51,4.01,0.46,2.89,0.14,32.7,3.3,0.19,4.81,0.01,4.37,36.9,20.9,12.9,23.7,19.7,1.43,115
